file_index,class
74096519,0
70865985,1
76196047,0
77603153,1
79905540,0
75729867,0
79725622,0
76183511,0
79959403,0
71830579,0
78359342,0
70015236,0
78052497,0
79780926,0
75773965,0
77772475,0
70897251,0
74841713,0
79361624,0
75140372,0
76862750,0
74691612,0
79082462,0
74337522,0
71450381,0
70831918,0
75152199,0
77493592,0
70762932,0
70796344,0
79288417,0
77727390,0
73449857,0
76950703,0
78341326,0
74970452,0
76102039,0
71540481,0
75962972,0
79193540,0
76649585,0
74762491,0
78492418,0
74223121,0
76447764,0
74212164,0
76416319,0
75671325,0
73199155,0
73493850,0
72619733,0
75506212,0
76358371,0
72858765,0
79493430,1
78438007,0
76427308,0
79325597,0
79764711,0
78323979,0
72594359,0
75792749,1
76822638,0
75002606,1
78203321,0
76326114,0
77505620,0
77303941,0
76520267,0
72739561,0
75380067,0
72403731,0
73494395,0
72972284,0
70081216,0
73570383,0
72175938,0
75541350,0
77648904,0
72721092,0
73543391,0
74268432,0
73891378,0
75129726,0
70409178,0
72609532,0
76900864,0
73120794,0
78722662,0
70542712,0
79709467,0
71232594,0
78751422,0
79561699,0
73410408,0
79966199,0
79998230,0
75643148,0
73420118,0
73812871,0
76696069,0
74474669,0
79122042,0
72461078,0
79612386,0
70342137,0
72054453,0
74290000,0
79120611,0
71895577,0
74148078,0
75931530,0
72901364,0
71090479,0
73171937,0
74030858,0
72758943,0
77290148,0
75791662,0
78202856,0
75668766,0
78126885,0
75416205,0
76705650,0
70147310,0
76528102,0
72799531,0
74993566,0
78630720,0
79977891,0
79532784,0
79641816,0
71990167,0
79706727,0
77576035,0
78909733,0
73573833,0
72346997,0
77302453,0
72467961,0
70347010,0
70655632,0
77147626,0
74102120,0
78538308,0
75869877,0
74993547,0
76114126,0
78013479,0
78254113,0
75740149,0
79631232,0
74939922,0
78335778,0
73657638,0
70601432,0
72129253,0
70340120,0
75644687,0
70554559,0
72383165,0
77866702,0
76054502,0
72014774,0
72908476,0
74120820,0
79337546,0
71712009,0
70517733,0
77627911,1
76765277,0
73345461,0
76915119,0
70995766,0
77712678,0
72013388,1
79762102,0
79355163,0
75556151,0
75633549,1
72926180,0
74379679,0
73884391,0
74339198,0
73138458,0
77456739,0
79605661,1
77110790,0
76862470,0
75809567,0
75644150,0
77787396,0
73878344,0
72795093,0
78824745,0
73004984,0
75378926,0
79364218,0
71041650,0
71759798,1
76893988,0
79416473,0
78471903,0
73161281,0
75203460,0
79378324,0
70282163,0
70303322,0
71063155,0
75897377,0
72622527,0
74132004,0
77760129,0
70104824,0
70468670,0
78649320,0
70672762,0
75731194,0
76704241,0
73573637,0
70301983,0
73885075,0
76604068,0
77243726,0
71584736,0
76383614,0
73034828,0
74570054,0
73136247,0
77797363,0
71343220,0
77353591,0
76871826,0
75147452,0
72011933,0
70122325,0
71783182,0
78203987,0
72858509,0
76355289,0
72433017,0
73990743,0
79982298,0
79239753,0
71949507,0
74140255,0
72459945,0
76852808,0
78713696,0
76874753,0
71765217,0
79128579,0
77980902,0
71113774,0
76781000,0
77952574,0
77857607,0
77835689,0
77513741,0
75533362,0
77844115,1
77690938,0
72427197,0
75877274,0
74143334,0
76541974,0
70594634,0
73953723,0
70679979,0
79358365,0
70485000,0
75218077,1
71346792,0
71201679,0
71234210,0
74385162,1
71743100,0
79493385,1
74393743,0
70117441,1
77401438,1
77367253,0
78605437,1
77457383,0
71686636,1
76167609,1
72911051,1
70038388,1
75908429,1
75061110,1
72569137,1
79964805,1
76513028,1
71160421,1
75384352,1
70252075,1
79790148,0
76456395,1
74534010,1
75199523,1
75718107,0
72372862,1
79367589,1
78934125,1
74018407,1
79657171,1
77466217,1
77958184,1
77592123,1
70007765,1
77162244,1
71125132,0
70318900,1
79502784,1
77350646,1
71229498,1
70092069,1
78786132,1
74439484,1
71284305,1
77541419,1
73564303,1
71615464,1
74745902,1
77924181,0
72177356,1
77467597,1
70893296,0
76672876,1
72365515,1
72243797,1
73360666,1
75170767,1
76692651,1
77121891,1
74788049,1
70135679,1
79045314,1
79411866,1
79501505,1
73736367,1
70261214,1
76304103,1
70593118,1
79094136,1
78565933,1
71119715,1
77951122,1
78029501,1
70343024,1
70756878,1
79458558,1
77186449,1
71117856,1
78759113,1
71188839,1
73703673,1
72061736,1
74801633,1
76508753,1
76980580,1
70563942,1
72450804,1
75924793,1
75437683,1
70007467,1
70873635,1
76633554,1
76753938,1
78012006,1
70887562,1
73912507,1
71589866,1
79881440,1
70709595,1
70430311,1
72300887,1
78252494,1
73749420,1
72335184,1
77180592,1
79652587,1
77371861,1
79422587,1
79794463,1
74402839,1
73093887,1
76973296,1
74662725,1
70213887,1
78953559,1
72135493,1
72974480,1
78942226,1
78710885,1
76954315,1
75740001,1
75196788,1
77095952,1
72725798,1
75275546,1
73302259,1
79978268,1
73958005,1
71064646,1
78964138,1
74046993,1
70743154,1
74748887,1
73873040,1
79358446,1
78968496,1
78837662,1
78749745,1
70554885,1
76346615,1
72874605,1
72839891,1
78252204,1
71895853,1
78377209,1
72991232,1
70884309,1
70333766,1
73014918,1
79638269,1
73063169,1
78157889,1
70918181,1
71351163,1
77489289,1
79155227,1
71057210,1
73066460,1
77782957,1
73502235,1
74118460,1
72365064,1
72204233,1
71310773,1
72878744,1
79962376,1
76073402,1
79046872,1
71092009,1
77245072,1
77406703,1
79114451,1
70572053,1
72565733,1
73001746,1
76218189,1
79416634,1
76103805,1
73543739,1
70662965,1
77355848,1
75463268,1
77389344,1
73793720,1
77397612,1
72207649,1
71549512,1
75230432,1
70667892,1
72913952,1
79880588,1
77004699,1
70070242,1
78925025,1
74222337,1
75277117,1
79293780,1
70457695,1
75266290,1
70644789,1
73364708,1
79890941,1
73454460,1
79665533,1
74950938,1
70159495,1
75590048,1
72550032,1
77419656,1
79165361,1
76705682,1
75204190,1
78568950,1
73720934,1
78131332,1
74076771,1
76496361,1
76570848,1
76347675,1
79805772,1
72306150,1
73777255,1
75014544,1
79873998,1
76147698,1
71389581,1
71349882,1
73937994,1
74406453,1
74956262,1
73798677,1
70930643,1
78454721,1
75034107,1
77083696,1
78238806,1
79181626,1
72110600,1
78749069,1
74210381,1
76019137,1
74230885,1
75590251,1
78496207,1
74773295,1
77268160,1
74226499,1
70724692,1
70902914,1
70293344,1
70916639,1
76321194,1
76621835,1
73965496,1
77970187,1
71846503,1
78391708,1
71303652,1
75334499,1
75566861,1
78997069,1
76336055,1
78202823,1
76881014,1
70102740,1
75959844,1
76426264,0
73076766,1
72228698,1
75903558,1
75969785,1
73619219,1
77644466,1
70179810,1
70145863,1
71801587,1
77128111,1
70014532,1
77810433,1
74529561,1
72442352,1
70068746,1
73554049,1
76938514,1
77326100,1
76475211,1
73073196,1
77358829,1
71689793,1
72310329,1
71442157,1
78221599,0
76269020,1
76253061,1
71241723,1
72207080,1
73345628,1
73412262,1
74208388,1
77369587,1
77880820,1
79868374,1
